Epoch [1/150], Train Loss: 0.6922, Val Loss: 0.6916, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [2/150], Train Loss: 0.6908, Val Loss: 0.6906, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [3/150], Train Loss: 0.6895, Val Loss: 0.6897, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [4/150], Train Loss: 0.6879, Val Loss: 0.6890, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/150], Train Loss: 0.6878, Val Loss: 0.6883, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/150], Train Loss: 0.6867, Val Loss: 0.6878, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/150], Train Loss: 0.6855, Val Loss: 0.6874, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/150], Train Loss: 0.6854, Val Loss: 0.6869, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/150], Train Loss: 0.6853, Val Loss: 0.6865, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/150], Train Loss: 0.6843, Val Loss: 0.6861, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/150], Train Loss: 0.6841, Val Loss: 0.6858, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/150], Train Loss: 0.6836, Val Loss: 0.6855, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/150], Train Loss: 0.6832, Val Loss: 0.6852, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/150], Train Loss: 0.6821, Val Loss: 0.6850, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/150], Train Loss: 0.6831, Val Loss: 0.6848, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/150], Train Loss: 0.6820, Val Loss: 0.6846, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
