Epoch [1/50], Train Loss: 0.6891, Val Loss: 0.6883, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [2/50], Train Loss: 0.6866, Val Loss: 0.6867, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [3/50], Train Loss: 0.6850, Val Loss: 0.6854, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [4/50], Train Loss: 0.6840, Val Loss: 0.6842, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/50], Train Loss: 0.6816, Val Loss: 0.6832, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/50], Train Loss: 0.6792, Val Loss: 0.6823, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/50], Train Loss: 0.6787, Val Loss: 0.6814, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/50], Train Loss: 0.6774, Val Loss: 0.6806, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/50], Train Loss: 0.6766, Val Loss: 0.6799, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/50], Train Loss: 0.6747, Val Loss: 0.6794, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/50], Train Loss: 0.6752, Val Loss: 0.6788, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/50], Train Loss: 0.6724, Val Loss: 0.6784, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/50], Train Loss: 0.6738, Val Loss: 0.6779, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/50], Train Loss: 0.6725, Val Loss: 0.6775, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/50], Train Loss: 0.6715, Val Loss: 0.6770, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/50], Train Loss: 0.6713, Val Loss: 0.6765, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
