Epoch [1/80], Train Loss: 0.6969, Val Loss: 0.6953, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [2/80], Train Loss: 0.6952, Val Loss: 0.6938, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [3/80], Train Loss: 0.6936, Val Loss: 0.6925, Train Accuracy: 0.4400, Val Accuracy: 0.5926, Train F1: 0.3030, Val F1: 0.5903
Epoch [4/80], Train Loss: 0.6918, Val Loss: 0.6911, Train Accuracy: 0.6160, Val Accuracy: 0.5556, Train F1: 0.5376, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6901, Val Loss: 0.6898, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6887, Val Loss: 0.6885, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6864, Val Loss: 0.6873, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6852, Val Loss: 0.6860, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6836, Val Loss: 0.6847, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/80], Train Loss: 0.6813, Val Loss: 0.6835, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/80], Train Loss: 0.6810, Val Loss: 0.6824, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/80], Train Loss: 0.6785, Val Loss: 0.6814, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/80], Train Loss: 0.6769, Val Loss: 0.6805, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/80], Train Loss: 0.6747, Val Loss: 0.6797, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/80], Train Loss: 0.6742, Val Loss: 0.6790, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/80], Train Loss: 0.6737, Val Loss: 0.6783, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [17/80], Train Loss: 0.6728, Val Loss: 0.6778, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [18/80], Train Loss: 0.6712, Val Loss: 0.6772, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [19/80], Train Loss: 0.6711, Val Loss: 0.6767, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [20/80], Train Loss: 0.6698, Val Loss: 0.6761, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [21/80], Train Loss: 0.6694, Val Loss: 0.6755, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [22/80], Train Loss: 0.6693, Val Loss: 0.6749, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [23/80], Train Loss: 0.6678, Val Loss: 0.6744, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [24/80], Train Loss: 0.6682, Val Loss: 0.6738, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [25/80], Train Loss: 0.6673, Val Loss: 0.6732, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
