Epoch [1/80], Train Loss: 0.6997, Val Loss: 0.6963, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [2/80], Train Loss: 0.6970, Val Loss: 0.6939, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [3/80], Train Loss: 0.6941, Val Loss: 0.6916, Train Accuracy: 0.4880, Val Accuracy: 0.6296, Train F1: 0.3830, Val F1: 0.6086
Epoch [4/80], Train Loss: 0.6913, Val Loss: 0.6895, Train Accuracy: 0.5600, Val Accuracy: 0.5556, Train F1: 0.5483, Val F1: 0.4524
Epoch [5/80], Train Loss: 0.6886, Val Loss: 0.6875, Train Accuracy: 0.5760, Val Accuracy: 0.5556, Train F1: 0.4293, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6865, Val Loss: 0.6856, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6838, Val Loss: 0.6839, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6818, Val Loss: 0.6824, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6805, Val Loss: 0.6811, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/80], Train Loss: 0.6781, Val Loss: 0.6800, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/80], Train Loss: 0.6765, Val Loss: 0.6791, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/80], Train Loss: 0.6752, Val Loss: 0.6783, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/80], Train Loss: 0.6739, Val Loss: 0.6776, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/80], Train Loss: 0.6718, Val Loss: 0.6770, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/80], Train Loss: 0.6711, Val Loss: 0.6763, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/80], Train Loss: 0.6699, Val Loss: 0.6757, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
