torch.Size([106548])
torch.Size([108840])
torch.Size([108840])
torch.Size([98090])
torch.Size([110234, 1])
torch.Size([107958, 1])
torch.Size([108088, 1])
torch.Size([96038, 1])
Epoch [1/80], Train Loss: 0.6779, Val Loss: 0.6720, Train Accuracy: 0.6080, Val Accuracy: 0.5926, Train F1: 0.6075, Val F1: 0.5820
Epoch [2/80], Train Loss: 0.6696, Val Loss: 0.6651, Train Accuracy: 0.6720, Val Accuracy: 0.6296, Train F1: 0.6669, Val F1: 0.6244
Epoch [3/80], Train Loss: 0.6640, Val Loss: 0.6583, Train Accuracy: 0.7040, Val Accuracy: 0.6667, Train F1: 0.6943, Val F1: 0.6580
Epoch [4/80], Train Loss: 0.6559, Val Loss: 0.6522, Train Accuracy: 0.7120, Val Accuracy: 0.7037, Train F1: 0.7015, Val F1: 0.6915
Epoch [5/80], Train Loss: 0.6488, Val Loss: 0.6464, Train Accuracy: 0.7120, Val Accuracy: 0.7778, Train F1: 0.6994, Val F1: 0.7686
Epoch [6/80], Train Loss: 0.6426, Val Loss: 0.6408, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7139, Val F1: 0.7686
Epoch [7/80], Train Loss: 0.6361, Val Loss: 0.6354, Train Accuracy: 0.7360, Val Accuracy: 0.7778, Train F1: 0.7211, Val F1: 0.7686
Epoch [8/80], Train Loss: 0.6308, Val Loss: 0.6304, Train Accuracy: 0.7200, Val Accuracy: 0.7778, Train F1: 0.7016, Val F1: 0.7686
Epoch [9/80], Train Loss: 0.6242, Val Loss: 0.6258, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.7016, Val F1: 0.7251
Epoch [10/80], Train Loss: 0.6166, Val Loss: 0.6217, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.7016, Val F1: 0.7251
Epoch [11/80], Train Loss: 0.6128, Val Loss: 0.6173, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.7016, Val F1: 0.7251
Epoch [12/80], Train Loss: 0.6053, Val Loss: 0.6136, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7115, Val F1: 0.7251
Epoch [13/80], Train Loss: 0.6025, Val Loss: 0.6102, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7115, Val F1: 0.7686
Epoch [14/80], Train Loss: 0.5976, Val Loss: 0.6074, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7115, Val F1: 0.7251
Epoch [15/80], Train Loss: 0.5939, Val Loss: 0.6050, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7115, Val F1: 0.7251
Epoch [16/80], Train Loss: 0.5906, Val Loss: 0.6028, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7115, Val F1: 0.7251
Epoch [17/80], Train Loss: 0.5849, Val Loss: 0.6008, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.7042, Val F1: 0.7251
Epoch [18/80], Train Loss: 0.5825, Val Loss: 0.5988, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7139, Val F1: 0.7251
Epoch [19/80], Train Loss: 0.5778, Val Loss: 0.5971, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.7066, Val F1: 0.7251
Epoch [20/80], Train Loss: 0.5753, Val Loss: 0.5955, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.7066, Val F1: 0.7251
Epoch [21/80], Train Loss: 0.5718, Val Loss: 0.5943, Train Accuracy: 0.7120, Val Accuracy: 0.7778, Train F1: 0.6994, Val F1: 0.7686
Epoch [22/80], Train Loss: 0.5685, Val Loss: 0.5931, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7181, Val F1: 0.7686
Epoch [23/80], Train Loss: 0.5671, Val Loss: 0.5920, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7181, Val F1: 0.7686
Epoch [24/80], Train Loss: 0.5654, Val Loss: 0.5910, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7181, Val F1: 0.7686
Epoch [25/80], Train Loss: 0.5633, Val Loss: 0.5899, Train Accuracy: 0.7360, Val Accuracy: 0.7778, Train F1: 0.7273, Val F1: 0.7686
Epoch [26/80], Train Loss: 0.5577, Val Loss: 0.5892, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7199, Val F1: 0.7686
Epoch [27/80], Train Loss: 0.5552, Val Loss: 0.5885, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7380, Val F1: 0.7686
Epoch [28/80], Train Loss: 0.5530, Val Loss: 0.5873, Train Accuracy: 0.7520, Val Accuracy: 0.7778, Train F1: 0.7469, Val F1: 0.7686
