Epoch [1/80], Train Loss: 0.6916, Val Loss: 0.7028, Train Accuracy: 0.5600, Val Accuracy: 0.5556, Train F1: 0.5568, Val F1: 0.5556
Epoch [2/80], Train Loss: 0.6805, Val Loss: 0.6922, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.5622, Val F1: 0.5903
Epoch [3/80], Train Loss: 0.6699, Val Loss: 0.6823, Train Accuracy: 0.6080, Val Accuracy: 0.6296, Train F1: 0.5951, Val F1: 0.6144
Epoch [4/80], Train Loss: 0.6597, Val Loss: 0.6731, Train Accuracy: 0.6400, Val Accuracy: 0.6296, Train F1: 0.6256, Val F1: 0.6144
Epoch [5/80], Train Loss: 0.6501, Val Loss: 0.6648, Train Accuracy: 0.6400, Val Accuracy: 0.6296, Train F1: 0.6228, Val F1: 0.6144
Epoch [6/80], Train Loss: 0.6412, Val Loss: 0.6571, Train Accuracy: 0.6320, Val Accuracy: 0.6667, Train F1: 0.6060, Val F1: 0.6466
Epoch [7/80], Train Loss: 0.6339, Val Loss: 0.6502, Train Accuracy: 0.6320, Val Accuracy: 0.7037, Train F1: 0.5979, Val F1: 0.6790
Epoch [8/80], Train Loss: 0.6268, Val Loss: 0.6437, Train Accuracy: 0.6320, Val Accuracy: 0.7037, Train F1: 0.5884, Val F1: 0.6608
Epoch [9/80], Train Loss: 0.6199, Val Loss: 0.6381, Train Accuracy: 0.6800, Val Accuracy: 0.7037, Train F1: 0.6374, Val F1: 0.6608
Epoch [10/80], Train Loss: 0.6132, Val Loss: 0.6331, Train Accuracy: 0.7120, Val Accuracy: 0.6667, Train F1: 0.6817, Val F1: 0.6296
Epoch [11/80], Train Loss: 0.6060, Val Loss: 0.6285, Train Accuracy: 0.7120, Val Accuracy: 0.6667, Train F1: 0.6817, Val F1: 0.6296
Epoch [12/80], Train Loss: 0.6024, Val Loss: 0.6245, Train Accuracy: 0.7040, Val Accuracy: 0.6667, Train F1: 0.6709, Val F1: 0.6296
Epoch [13/80], Train Loss: 0.5949, Val Loss: 0.6209, Train Accuracy: 0.7040, Val Accuracy: 0.6667, Train F1: 0.6783, Val F1: 0.6296
Epoch [14/80], Train Loss: 0.5918, Val Loss: 0.6177, Train Accuracy: 0.7200, Val Accuracy: 0.7037, Train F1: 0.6988, Val F1: 0.6790
