Epoch [1/80], Train Loss: 0.6663, Val Loss: 0.6665, Train Accuracy: 0.6560, Val Accuracy: 0.6296, Train F1: 0.5893, Val F1: 0.5437
Epoch [2/80], Train Loss: 0.6584, Val Loss: 0.6640, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [3/80], Train Loss: 0.6562, Val Loss: 0.6614, Train Accuracy: 0.5920, Val Accuracy: 0.6296, Train F1: 0.4634, Val F1: 0.5437
Epoch [4/80], Train Loss: 0.6546, Val Loss: 0.6594, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4293, Val F1: 0.5437
Epoch [5/80], Train Loss: 0.6501, Val Loss: 0.6573, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4293, Val F1: 0.5437
Epoch [6/80], Train Loss: 0.6457, Val Loss: 0.6549, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [7/80], Train Loss: 0.6446, Val Loss: 0.6527, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [8/80], Train Loss: 0.6410, Val Loss: 0.6504, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [9/80], Train Loss: 0.6400, Val Loss: 0.6479, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [10/80], Train Loss: 0.6374, Val Loss: 0.6454, Train Accuracy: 0.6240, Val Accuracy: 0.6667, Train F1: 0.5259, Val F1: 0.6051
Epoch [11/80], Train Loss: 0.6365, Val Loss: 0.6433, Train Accuracy: 0.6240, Val Accuracy: 0.6667, Train F1: 0.5259, Val F1: 0.6051
Epoch [12/80], Train Loss: 0.6312, Val Loss: 0.6407, Train Accuracy: 0.6400, Val Accuracy: 0.6667, Train F1: 0.5628, Val F1: 0.6051
Epoch [13/80], Train Loss: 0.6284, Val Loss: 0.6382, Train Accuracy: 0.6720, Val Accuracy: 0.6667, Train F1: 0.6146, Val F1: 0.6051
Epoch [14/80], Train Loss: 0.6255, Val Loss: 0.6358, Train Accuracy: 0.6960, Val Accuracy: 0.6667, Train F1: 0.6507, Val F1: 0.6051
Epoch [15/80], Train Loss: 0.6223, Val Loss: 0.6335, Train Accuracy: 0.7120, Val Accuracy: 0.7037, Train F1: 0.6779, Val F1: 0.6608
Epoch [16/80], Train Loss: 0.6198, Val Loss: 0.6312, Train Accuracy: 0.7120, Val Accuracy: 0.7037, Train F1: 0.6779, Val F1: 0.6608
Epoch [17/80], Train Loss: 0.6171, Val Loss: 0.6291, Train Accuracy: 0.7120, Val Accuracy: 0.7407, Train F1: 0.6817, Val F1: 0.7119
Epoch [18/80], Train Loss: 0.6143, Val Loss: 0.6270, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7028, Val F1: 0.7119
Epoch [19/80], Train Loss: 0.6115, Val Loss: 0.6248, Train Accuracy: 0.7360, Val Accuracy: 0.7407, Train F1: 0.7131, Val F1: 0.7119
Epoch [20/80], Train Loss: 0.6090, Val Loss: 0.6228, Train Accuracy: 0.7360, Val Accuracy: 0.7407, Train F1: 0.7131, Val F1: 0.7119
Epoch [21/80], Train Loss: 0.6085, Val Loss: 0.6207, Train Accuracy: 0.7360, Val Accuracy: 0.7407, Train F1: 0.7131, Val F1: 0.7119
Epoch [22/80], Train Loss: 0.6040, Val Loss: 0.6186, Train Accuracy: 0.7360, Val Accuracy: 0.7407, Train F1: 0.7131, Val F1: 0.7119
Epoch [23/80], Train Loss: 0.6012, Val Loss: 0.6166, Train Accuracy: 0.7360, Val Accuracy: 0.7037, Train F1: 0.7160, Val F1: 0.6790
Epoch [24/80], Train Loss: 0.5973, Val Loss: 0.6147, Train Accuracy: 0.7280, Val Accuracy: 0.7037, Train F1: 0.7088, Val F1: 0.6790
Epoch [25/80], Train Loss: 0.5962, Val Loss: 0.6128, Train Accuracy: 0.7280, Val Accuracy: 0.6667, Train F1: 0.7088, Val F1: 0.6466
Epoch [26/80], Train Loss: 0.5925, Val Loss: 0.6109, Train Accuracy: 0.7280, Val Accuracy: 0.6667, Train F1: 0.7139, Val F1: 0.6466
Epoch [27/80], Train Loss: 0.5893, Val Loss: 0.6090, Train Accuracy: 0.7440, Val Accuracy: 0.6667, Train F1: 0.7328, Val F1: 0.6466
Epoch [28/80], Train Loss: 0.5886, Val Loss: 0.6070, Train Accuracy: 0.7440, Val Accuracy: 0.6667, Train F1: 0.7328, Val F1: 0.6466
Epoch [29/80], Train Loss: 0.5858, Val Loss: 0.6052, Train Accuracy: 0.7360, Val Accuracy: 0.6667, Train F1: 0.7234, Val F1: 0.6466
Epoch [30/80], Train Loss: 0.5830, Val Loss: 0.6034, Train Accuracy: 0.7440, Val Accuracy: 0.6667, Train F1: 0.7328, Val F1: 0.6466
Epoch [31/80], Train Loss: 0.5803, Val Loss: 0.6018, Train Accuracy: 0.7520, Val Accuracy: 0.6667, Train F1: 0.7421, Val F1: 0.6466
Epoch [32/80], Train Loss: 0.5790, Val Loss: 0.6002, Train Accuracy: 0.7520, Val Accuracy: 0.6667, Train F1: 0.7421, Val F1: 0.6466
Epoch [33/80], Train Loss: 0.5783, Val Loss: 0.5987, Train Accuracy: 0.7600, Val Accuracy: 0.7037, Train F1: 0.7513, Val F1: 0.6915
Epoch [34/80], Train Loss: 0.5746, Val Loss: 0.5973, Train Accuracy: 0.7520, Val Accuracy: 0.7037, Train F1: 0.7438, Val F1: 0.6915
Epoch [35/80], Train Loss: 0.5739, Val Loss: 0.5957, Train Accuracy: 0.7600, Val Accuracy: 0.7037, Train F1: 0.7529, Val F1: 0.6915
Epoch [36/80], Train Loss: 0.5699, Val Loss: 0.5944, Train Accuracy: 0.7600, Val Accuracy: 0.7037, Train F1: 0.7529, Val F1: 0.6915
Epoch [37/80], Train Loss: 0.5708, Val Loss: 0.5927, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7619, Val F1: 0.6915
Epoch [38/80], Train Loss: 0.5675, Val Loss: 0.5911, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7619, Val F1: 0.6915
Epoch [39/80], Train Loss: 0.5624, Val Loss: 0.5899, Train Accuracy: 0.7600, Val Accuracy: 0.7037, Train F1: 0.7529, Val F1: 0.6915
Epoch [40/80], Train Loss: 0.5622, Val Loss: 0.5888, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7619, Val F1: 0.6915
Epoch [41/80], Train Loss: 0.5596, Val Loss: 0.5879, Train Accuracy: 0.7760, Val Accuracy: 0.6667, Train F1: 0.7707, Val F1: 0.6580
Epoch [42/80], Train Loss: 0.5585, Val Loss: 0.5863, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7707, Val F1: 0.6915
Epoch [43/80], Train Loss: 0.5564, Val Loss: 0.5855, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [44/80], Train Loss: 0.5541, Val Loss: 0.5840, Train Accuracy: 0.7680, Val Accuracy: 0.6667, Train F1: 0.7632, Val F1: 0.6580
Epoch [45/80], Train Loss: 0.5521, Val Loss: 0.5830, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7632, Val F1: 0.6995
Epoch [46/80], Train Loss: 0.5519, Val Loss: 0.5817, Train Accuracy: 0.7760, Val Accuracy: 0.6667, Train F1: 0.7719, Val F1: 0.6580
Epoch [47/80], Train Loss: 0.5492, Val Loss: 0.5806, Train Accuracy: 0.7760, Val Accuracy: 0.6667, Train F1: 0.7719, Val F1: 0.6580
Epoch [48/80], Train Loss: 0.5479, Val Loss: 0.5796, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [49/80], Train Loss: 0.5473, Val Loss: 0.5786, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [50/80], Train Loss: 0.5479, Val Loss: 0.5771, Train Accuracy: 0.7760, Val Accuracy: 0.6667, Train F1: 0.7719, Val F1: 0.6580
Epoch [51/80], Train Loss: 0.5422, Val Loss: 0.5763, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [52/80], Train Loss: 0.5432, Val Loss: 0.5756, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [53/80], Train Loss: 0.5431, Val Loss: 0.5749, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [54/80], Train Loss: 0.5395, Val Loss: 0.5740, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7719, Val F1: 0.7393
Epoch [55/80], Train Loss: 0.5383, Val Loss: 0.5731, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7719, Val F1: 0.7393
Epoch [56/80], Train Loss: 0.5368, Val Loss: 0.5725, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7719, Val F1: 0.7393
Epoch [57/80], Train Loss: 0.5371, Val Loss: 0.5713, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
Epoch [58/80], Train Loss: 0.5319, Val Loss: 0.5699, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
Epoch [59/80], Train Loss: 0.5347, Val Loss: 0.5684, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7719, Val F1: 0.7393
Epoch [60/80], Train Loss: 0.5350, Val Loss: 0.5671, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [61/80], Train Loss: 0.5353, Val Loss: 0.5662, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [62/80], Train Loss: 0.5302, Val Loss: 0.5657, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7719, Val F1: 0.6995
Epoch [63/80], Train Loss: 0.5293, Val Loss: 0.5651, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7719, Val F1: 0.7393
Epoch [64/80], Train Loss: 0.5320, Val Loss: 0.5642, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7719, Val F1: 0.7393
Epoch [65/80], Train Loss: 0.5283, Val Loss: 0.5634, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
Epoch [66/80], Train Loss: 0.5302, Val Loss: 0.5624, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
Epoch [67/80], Train Loss: 0.5298, Val Loss: 0.5616, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7644, Val F1: 0.7037
Epoch [68/80], Train Loss: 0.5259, Val Loss: 0.5605, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
Epoch [69/80], Train Loss: 0.5248, Val Loss: 0.5595, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7644, Val F1: 0.7037
Epoch [70/80], Train Loss: 0.5241, Val Loss: 0.5583, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7730, Val F1: 0.7393
Epoch [71/80], Train Loss: 0.5231, Val Loss: 0.5573, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7730, Val F1: 0.7393
Epoch [72/80], Train Loss: 0.5223, Val Loss: 0.5568, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7730, Val F1: 0.7037
Epoch [73/80], Train Loss: 0.5211, Val Loss: 0.5564, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7730, Val F1: 0.7037
Epoch [74/80], Train Loss: 0.5208, Val Loss: 0.5552, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7730, Val F1: 0.7037
Epoch [75/80], Train Loss: 0.5196, Val Loss: 0.5539, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7730, Val F1: 0.7037
Epoch [76/80], Train Loss: 0.5163, Val Loss: 0.5523, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7730, Val F1: 0.7393
Epoch [77/80], Train Loss: 0.5193, Val Loss: 0.5511, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7730, Val F1: 0.7393
Epoch [78/80], Train Loss: 0.5190, Val Loss: 0.5503, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
Epoch [79/80], Train Loss: 0.5164, Val Loss: 0.5494, Train Accuracy: 0.7760, Val Accuracy: 0.7407, Train F1: 0.7730, Val F1: 0.7393
Epoch [80/80], Train Loss: 0.5142, Val Loss: 0.5487, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7644, Val F1: 0.7393
