Epoch [1/80], Train Loss: 0.6883, Val Loss: 0.6874, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [2/80], Train Loss: 0.6856, Val Loss: 0.6844, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [3/80], Train Loss: 0.6818, Val Loss: 0.6819, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [4/80], Train Loss: 0.6778, Val Loss: 0.6797, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6759, Val Loss: 0.6777, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6743, Val Loss: 0.6759, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6720, Val Loss: 0.6741, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6694, Val Loss: 0.6724, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6676, Val Loss: 0.6707, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/80], Train Loss: 0.6668, Val Loss: 0.6689, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/80], Train Loss: 0.6627, Val Loss: 0.6670, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/80], Train Loss: 0.6619, Val Loss: 0.6654, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/80], Train Loss: 0.6605, Val Loss: 0.6636, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/80], Train Loss: 0.6568, Val Loss: 0.6615, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/80], Train Loss: 0.6562, Val Loss: 0.6594, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/80], Train Loss: 0.6528, Val Loss: 0.6574, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [17/80], Train Loss: 0.6534, Val Loss: 0.6556, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6488, Val Loss: 0.6536, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [19/80], Train Loss: 0.6472, Val Loss: 0.6515, Train Accuracy: 0.5680, Val Accuracy: 0.6296, Train F1: 0.4115, Val F1: 0.5437
Epoch [20/80], Train Loss: 0.6448, Val Loss: 0.6492, Train Accuracy: 0.5680, Val Accuracy: 0.6296, Train F1: 0.4115, Val F1: 0.5437
Epoch [21/80], Train Loss: 0.6415, Val Loss: 0.6471, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [22/80], Train Loss: 0.6394, Val Loss: 0.6450, Train Accuracy: 0.5920, Val Accuracy: 0.6296, Train F1: 0.4749, Val F1: 0.5437
Epoch [23/80], Train Loss: 0.6373, Val Loss: 0.6430, Train Accuracy: 0.6080, Val Accuracy: 0.6296, Train F1: 0.5057, Val F1: 0.5437
Epoch [24/80], Train Loss: 0.6366, Val Loss: 0.6410, Train Accuracy: 0.6160, Val Accuracy: 0.6667, Train F1: 0.5205, Val F1: 0.6051
Epoch [25/80], Train Loss: 0.6333, Val Loss: 0.6388, Train Accuracy: 0.6160, Val Accuracy: 0.6667, Train F1: 0.5205, Val F1: 0.6051
Epoch [26/80], Train Loss: 0.6304, Val Loss: 0.6366, Train Accuracy: 0.6240, Val Accuracy: 0.6667, Train F1: 0.5350, Val F1: 0.6051
Epoch [27/80], Train Loss: 0.6286, Val Loss: 0.6344, Train Accuracy: 0.6320, Val Accuracy: 0.6667, Train F1: 0.5490, Val F1: 0.6051
Epoch [28/80], Train Loss: 0.6253, Val Loss: 0.6322, Train Accuracy: 0.6480, Val Accuracy: 0.7037, Train F1: 0.5762, Val F1: 0.6608
Epoch [29/80], Train Loss: 0.6241, Val Loss: 0.6299, Train Accuracy: 0.6560, Val Accuracy: 0.7037, Train F1: 0.5958, Val F1: 0.6608
Epoch [30/80], Train Loss: 0.6218, Val Loss: 0.6279, Train Accuracy: 0.6560, Val Accuracy: 0.7037, Train F1: 0.5958, Val F1: 0.6608
Epoch [31/80], Train Loss: 0.6194, Val Loss: 0.6254, Train Accuracy: 0.6560, Val Accuracy: 0.7037, Train F1: 0.6019, Val F1: 0.6608
Epoch [32/80], Train Loss: 0.6166, Val Loss: 0.6230, Train Accuracy: 0.6880, Val Accuracy: 0.7037, Train F1: 0.6488, Val F1: 0.6608
Epoch [33/80], Train Loss: 0.6132, Val Loss: 0.6208, Train Accuracy: 0.7280, Val Accuracy: 0.7037, Train F1: 0.7028, Val F1: 0.6608
Epoch [34/80], Train Loss: 0.6112, Val Loss: 0.6185, Train Accuracy: 0.7280, Val Accuracy: 0.7037, Train F1: 0.7028, Val F1: 0.6608
Epoch [35/80], Train Loss: 0.6090, Val Loss: 0.6164, Train Accuracy: 0.7280, Val Accuracy: 0.7037, Train F1: 0.7028, Val F1: 0.6608
Epoch [36/80], Train Loss: 0.6061, Val Loss: 0.6142, Train Accuracy: 0.7200, Val Accuracy: 0.7037, Train F1: 0.6957, Val F1: 0.6608
Epoch [37/80], Train Loss: 0.6033, Val Loss: 0.6119, Train Accuracy: 0.7200, Val Accuracy: 0.7037, Train F1: 0.6957, Val F1: 0.6608
Epoch [38/80], Train Loss: 0.6020, Val Loss: 0.6098, Train Accuracy: 0.7280, Val Accuracy: 0.7037, Train F1: 0.7059, Val F1: 0.6608
Epoch [39/80], Train Loss: 0.5987, Val Loss: 0.6074, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7059, Val F1: 0.7119
Epoch [40/80], Train Loss: 0.5960, Val Loss: 0.6050, Train Accuracy: 0.7360, Val Accuracy: 0.7407, Train F1: 0.7187, Val F1: 0.7119
