Epoch [1/80], Train Loss: 0.6956, Val Loss: 0.6905, Train Accuracy: 0.4400, Val Accuracy: 0.4444, Train F1: 0.2779, Val F1: 0.2735
Epoch [2/80], Train Loss: 0.6899, Val Loss: 0.6867, Train Accuracy: 0.5280, Val Accuracy: 0.5556, Train F1: 0.4436, Val F1: 0.4815
Epoch [3/80], Train Loss: 0.6861, Val Loss: 0.6834, Train Accuracy: 0.6800, Val Accuracy: 0.7407, Train F1: 0.6803, Val F1: 0.7340
Epoch [4/80], Train Loss: 0.6820, Val Loss: 0.6805, Train Accuracy: 0.6960, Val Accuracy: 0.6296, Train F1: 0.6745, Val F1: 0.5437
Epoch [5/80], Train Loss: 0.6784, Val Loss: 0.6781, Train Accuracy: 0.5840, Val Accuracy: 0.5926, Train F1: 0.4466, Val F1: 0.4749
Epoch [6/80], Train Loss: 0.6751, Val Loss: 0.6761, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [7/80], Train Loss: 0.6726, Val Loss: 0.6742, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [8/80], Train Loss: 0.6714, Val Loss: 0.6726, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [9/80], Train Loss: 0.6690, Val Loss: 0.6712, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [10/80], Train Loss: 0.6672, Val Loss: 0.6699, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [11/80], Train Loss: 0.6651, Val Loss: 0.6686, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [12/80], Train Loss: 0.6639, Val Loss: 0.6673, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [13/80], Train Loss: 0.6631, Val Loss: 0.6660, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [14/80], Train Loss: 0.6610, Val Loss: 0.6647, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [15/80], Train Loss: 0.6600, Val Loss: 0.6633, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [16/80], Train Loss: 0.6582, Val Loss: 0.6619, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [17/80], Train Loss: 0.6560, Val Loss: 0.6605, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6552, Val Loss: 0.6592, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [19/80], Train Loss: 0.6534, Val Loss: 0.6579, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [20/80], Train Loss: 0.6525, Val Loss: 0.6566, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [21/80], Train Loss: 0.6515, Val Loss: 0.6553, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [22/80], Train Loss: 0.6492, Val Loss: 0.6539, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [23/80], Train Loss: 0.6483, Val Loss: 0.6524, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [24/80], Train Loss: 0.6477, Val Loss: 0.6511, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [25/80], Train Loss: 0.6448, Val Loss: 0.6497, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [26/80], Train Loss: 0.6440, Val Loss: 0.6482, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4293, Val F1: 0.5437
Epoch [27/80], Train Loss: 0.6428, Val Loss: 0.6468, Train Accuracy: 0.5840, Val Accuracy: 0.6667, Train F1: 0.4466, Val F1: 0.6051
Epoch [28/80], Train Loss: 0.6412, Val Loss: 0.6453, Train Accuracy: 0.5840, Val Accuracy: 0.6667, Train F1: 0.4466, Val F1: 0.6051
Epoch [29/80], Train Loss: 0.6394, Val Loss: 0.6439, Train Accuracy: 0.5920, Val Accuracy: 0.6667, Train F1: 0.4634, Val F1: 0.6051
Epoch [30/80], Train Loss: 0.6386, Val Loss: 0.6425, Train Accuracy: 0.5920, Val Accuracy: 0.6667, Train F1: 0.4634, Val F1: 0.6051
