Epoch [1/80], Train Loss: 0.6928, Val Loss: 0.6892, Train Accuracy: 0.4800, Val Accuracy: 0.4444, Train F1: 0.3582, Val F1: 0.4012
Epoch [2/80], Train Loss: 0.6891, Val Loss: 0.6861, Train Accuracy: 0.6000, Val Accuracy: 0.7037, Train F1: 0.5972, Val F1: 0.6995
Epoch [3/80], Train Loss: 0.6857, Val Loss: 0.6833, Train Accuracy: 0.6640, Val Accuracy: 0.7037, Train F1: 0.6436, Val F1: 0.6608
Epoch [4/80], Train Loss: 0.6822, Val Loss: 0.6811, Train Accuracy: 0.6080, Val Accuracy: 0.6667, Train F1: 0.5057, Val F1: 0.6051
Epoch [5/80], Train Loss: 0.6802, Val Loss: 0.6789, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [6/80], Train Loss: 0.6768, Val Loss: 0.6770, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [7/80], Train Loss: 0.6741, Val Loss: 0.6752, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [8/80], Train Loss: 0.6719, Val Loss: 0.6736, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [9/80], Train Loss: 0.6705, Val Loss: 0.6719, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [10/80], Train Loss: 0.6693, Val Loss: 0.6704, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [11/80], Train Loss: 0.6667, Val Loss: 0.6691, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [12/80], Train Loss: 0.6659, Val Loss: 0.6678, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [13/80], Train Loss: 0.6642, Val Loss: 0.6666, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [14/80], Train Loss: 0.6626, Val Loss: 0.6656, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [15/80], Train Loss: 0.6613, Val Loss: 0.6645, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [16/80], Train Loss: 0.6588, Val Loss: 0.6635, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [17/80], Train Loss: 0.6567, Val Loss: 0.6624, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6554, Val Loss: 0.6614, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [19/80], Train Loss: 0.6541, Val Loss: 0.6604, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [20/80], Train Loss: 0.6532, Val Loss: 0.6593, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [21/80], Train Loss: 0.6522, Val Loss: 0.6583, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [22/80], Train Loss: 0.6501, Val Loss: 0.6571, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [23/80], Train Loss: 0.6491, Val Loss: 0.6560, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [24/80], Train Loss: 0.6470, Val Loss: 0.6546, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [25/80], Train Loss: 0.6452, Val Loss: 0.6533, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [26/80], Train Loss: 0.6451, Val Loss: 0.6522, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [27/80], Train Loss: 0.6433, Val Loss: 0.6509, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [28/80], Train Loss: 0.6426, Val Loss: 0.6498, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [29/80], Train Loss: 0.6403, Val Loss: 0.6484, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [30/80], Train Loss: 0.6395, Val Loss: 0.6472, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [31/80], Train Loss: 0.6371, Val Loss: 0.6457, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [32/80], Train Loss: 0.6353, Val Loss: 0.6441, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [33/80], Train Loss: 0.6338, Val Loss: 0.6426, Train Accuracy: 0.5920, Val Accuracy: 0.6296, Train F1: 0.4634, Val F1: 0.5437
Epoch [34/80], Train Loss: 0.6319, Val Loss: 0.6410, Train Accuracy: 0.5920, Val Accuracy: 0.6667, Train F1: 0.4634, Val F1: 0.6051
Epoch [35/80], Train Loss: 0.6310, Val Loss: 0.6393, Train Accuracy: 0.6000, Val Accuracy: 0.6667, Train F1: 0.4797, Val F1: 0.6051
Epoch [36/80], Train Loss: 0.6309, Val Loss: 0.6381, Train Accuracy: 0.6080, Val Accuracy: 0.6667, Train F1: 0.4955, Val F1: 0.6051
Epoch [37/80], Train Loss: 0.6284, Val Loss: 0.6362, Train Accuracy: 0.6160, Val Accuracy: 0.6667, Train F1: 0.5109, Val F1: 0.6051
