Epoch [1/80], Train Loss: 0.6935, Val Loss: 0.6894, Train Accuracy: 0.4960, Val Accuracy: 0.7407, Train F1: 0.4532, Val F1: 0.7415
Epoch [2/80], Train Loss: 0.6904, Val Loss: 0.6865, Train Accuracy: 0.5840, Val Accuracy: 0.6667, Train F1: 0.5689, Val F1: 0.6051
Epoch [3/80], Train Loss: 0.6873, Val Loss: 0.6840, Train Accuracy: 0.5600, Val Accuracy: 0.5926, Train F1: 0.4558, Val F1: 0.4749
Epoch [4/80], Train Loss: 0.6844, Val Loss: 0.6818, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [5/80], Train Loss: 0.6818, Val Loss: 0.6798, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6794, Val Loss: 0.6780, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [7/80], Train Loss: 0.6778, Val Loss: 0.6763, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [8/80], Train Loss: 0.6753, Val Loss: 0.6747, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [9/80], Train Loss: 0.6745, Val Loss: 0.6731, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [10/80], Train Loss: 0.6729, Val Loss: 0.6716, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [11/80], Train Loss: 0.6710, Val Loss: 0.6701, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [12/80], Train Loss: 0.6681, Val Loss: 0.6687, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [13/80], Train Loss: 0.6672, Val Loss: 0.6674, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [14/80], Train Loss: 0.6664, Val Loss: 0.6660, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [15/80], Train Loss: 0.6644, Val Loss: 0.6647, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [16/80], Train Loss: 0.6629, Val Loss: 0.6633, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [17/80], Train Loss: 0.6622, Val Loss: 0.6619, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6594, Val Loss: 0.6605, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [19/80], Train Loss: 0.6586, Val Loss: 0.6592, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4293, Val F1: 0.5437
