Epoch [1/80], Train Loss: 0.6966, Val Loss: 0.6907, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [2/80], Train Loss: 0.6931, Val Loss: 0.6887, Train Accuracy: 0.4400, Val Accuracy: 0.4815, Train F1: 0.2779, Val F1: 0.3501
Epoch [3/80], Train Loss: 0.6905, Val Loss: 0.6868, Train Accuracy: 0.5440, Val Accuracy: 0.6667, Train F1: 0.4699, Val F1: 0.6536
Epoch [4/80], Train Loss: 0.6882, Val Loss: 0.6849, Train Accuracy: 0.7520, Val Accuracy: 0.7407, Train F1: 0.7523, Val F1: 0.7251
Epoch [5/80], Train Loss: 0.6861, Val Loss: 0.6831, Train Accuracy: 0.6560, Val Accuracy: 0.6296, Train F1: 0.5958, Val F1: 0.5437
Epoch [6/80], Train Loss: 0.6838, Val Loss: 0.6814, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [7/80], Train Loss: 0.6820, Val Loss: 0.6798, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [8/80], Train Loss: 0.6799, Val Loss: 0.6782, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [9/80], Train Loss: 0.6783, Val Loss: 0.6767, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [10/80], Train Loss: 0.6760, Val Loss: 0.6753, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [11/80], Train Loss: 0.6750, Val Loss: 0.6739, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [12/80], Train Loss: 0.6739, Val Loss: 0.6725, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [13/80], Train Loss: 0.6713, Val Loss: 0.6711, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [14/80], Train Loss: 0.6696, Val Loss: 0.6698, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [15/80], Train Loss: 0.6687, Val Loss: 0.6685, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [16/80], Train Loss: 0.6681, Val Loss: 0.6672, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [17/80], Train Loss: 0.6657, Val Loss: 0.6659, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6636, Val Loss: 0.6645, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [19/80], Train Loss: 0.6632, Val Loss: 0.6632, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [20/80], Train Loss: 0.6603, Val Loss: 0.6617, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [21/80], Train Loss: 0.6591, Val Loss: 0.6604, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [22/80], Train Loss: 0.6587, Val Loss: 0.6590, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [23/80], Train Loss: 0.6561, Val Loss: 0.6576, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [24/80], Train Loss: 0.6554, Val Loss: 0.6561, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [25/80], Train Loss: 0.6530, Val Loss: 0.6547, Train Accuracy: 0.5840, Val Accuracy: 0.5926, Train F1: 0.4466, Val F1: 0.4749
Epoch [26/80], Train Loss: 0.6521, Val Loss: 0.6533, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [27/80], Train Loss: 0.6490, Val Loss: 0.6517, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [28/80], Train Loss: 0.6472, Val Loss: 0.6500, Train Accuracy: 0.5840, Val Accuracy: 0.6667, Train F1: 0.4466, Val F1: 0.6051
Epoch [29/80], Train Loss: 0.6451, Val Loss: 0.6483, Train Accuracy: 0.5840, Val Accuracy: 0.6667, Train F1: 0.4466, Val F1: 0.6051
Epoch [30/80], Train Loss: 0.6431, Val Loss: 0.6465, Train Accuracy: 0.5840, Val Accuracy: 0.6667, Train F1: 0.4466, Val F1: 0.6051
Epoch [31/80], Train Loss: 0.6426, Val Loss: 0.6449, Train Accuracy: 0.5920, Val Accuracy: 0.6667, Train F1: 0.4634, Val F1: 0.6051
Epoch [32/80], Train Loss: 0.6394, Val Loss: 0.6432, Train Accuracy: 0.5920, Val Accuracy: 0.6667, Train F1: 0.4634, Val F1: 0.6051
Epoch [33/80], Train Loss: 0.6374, Val Loss: 0.6414, Train Accuracy: 0.6000, Val Accuracy: 0.6667, Train F1: 0.4797, Val F1: 0.6051
Epoch [34/80], Train Loss: 0.6363, Val Loss: 0.6395, Train Accuracy: 0.6080, Val Accuracy: 0.6667, Train F1: 0.4955, Val F1: 0.6051
Epoch [35/80], Train Loss: 0.6334, Val Loss: 0.6376, Train Accuracy: 0.6160, Val Accuracy: 0.6667, Train F1: 0.5109, Val F1: 0.6051
Epoch [36/80], Train Loss: 0.6313, Val Loss: 0.6356, Train Accuracy: 0.6160, Val Accuracy: 0.6667, Train F1: 0.5109, Val F1: 0.6051
