Epoch [1/80], Train Loss: 0.6913, Val Loss: 0.6907, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [2/80], Train Loss: 0.6907, Val Loss: 0.6902, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [3/80], Train Loss: 0.6900, Val Loss: 0.6898, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [4/80], Train Loss: 0.6896, Val Loss: 0.6894, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6895, Val Loss: 0.6889, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6888, Val Loss: 0.6885, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6880, Val Loss: 0.6882, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6874, Val Loss: 0.6878, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6871, Val Loss: 0.6874, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/80], Train Loss: 0.6869, Val Loss: 0.6870, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/80], Train Loss: 0.6865, Val Loss: 0.6867, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/80], Train Loss: 0.6858, Val Loss: 0.6863, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/80], Train Loss: 0.6853, Val Loss: 0.6859, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/80], Train Loss: 0.6851, Val Loss: 0.6855, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/80], Train Loss: 0.6845, Val Loss: 0.6852, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/80], Train Loss: 0.6839, Val Loss: 0.6848, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [17/80], Train Loss: 0.6840, Val Loss: 0.6845, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [18/80], Train Loss: 0.6833, Val Loss: 0.6841, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [19/80], Train Loss: 0.6827, Val Loss: 0.6838, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [20/80], Train Loss: 0.6829, Val Loss: 0.6834, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [21/80], Train Loss: 0.6820, Val Loss: 0.6831, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [22/80], Train Loss: 0.6816, Val Loss: 0.6828, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [23/80], Train Loss: 0.6811, Val Loss: 0.6825, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [24/80], Train Loss: 0.6806, Val Loss: 0.6822, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [25/80], Train Loss: 0.6805, Val Loss: 0.6818, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [26/80], Train Loss: 0.6802, Val Loss: 0.6815, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [27/80], Train Loss: 0.6800, Val Loss: 0.6812, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
