Epoch [1/80], Train Loss: 0.6954, Val Loss: 0.6918, Train Accuracy: 0.4560, Val Accuracy: 0.5556, Train F1: 0.3750, Val F1: 0.3968
Epoch [2/80], Train Loss: 0.6906, Val Loss: 0.6875, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [3/80], Train Loss: 0.6849, Val Loss: 0.6836, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [4/80], Train Loss: 0.6807, Val Loss: 0.6799, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6787, Val Loss: 0.6765, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6744, Val Loss: 0.6734, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6707, Val Loss: 0.6704, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6678, Val Loss: 0.6675, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [9/80], Train Loss: 0.6658, Val Loss: 0.6645, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [10/80], Train Loss: 0.6624, Val Loss: 0.6615, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [11/80], Train Loss: 0.6601, Val Loss: 0.6584, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [12/80], Train Loss: 0.6571, Val Loss: 0.6553, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [13/80], Train Loss: 0.6539, Val Loss: 0.6522, Train Accuracy: 0.5680, Val Accuracy: 0.6296, Train F1: 0.4115, Val F1: 0.5437
Epoch [14/80], Train Loss: 0.6509, Val Loss: 0.6489, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4293, Val F1: 0.5437
Epoch [15/80], Train Loss: 0.6477, Val Loss: 0.6455, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [16/80], Train Loss: 0.6454, Val Loss: 0.6421, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [17/80], Train Loss: 0.6418, Val Loss: 0.6385, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [18/80], Train Loss: 0.6396, Val Loss: 0.6347, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [19/80], Train Loss: 0.6353, Val Loss: 0.6309, Train Accuracy: 0.6080, Val Accuracy: 0.6667, Train F1: 0.4955, Val F1: 0.6051
Epoch [20/80], Train Loss: 0.6317, Val Loss: 0.6271, Train Accuracy: 0.6400, Val Accuracy: 0.7037, Train F1: 0.5547, Val F1: 0.6608
Epoch [21/80], Train Loss: 0.6275, Val Loss: 0.6231, Train Accuracy: 0.6640, Val Accuracy: 0.7037, Train F1: 0.5954, Val F1: 0.6608
Epoch [22/80], Train Loss: 0.6264, Val Loss: 0.6189, Train Accuracy: 0.6800, Val Accuracy: 0.7407, Train F1: 0.6210, Val F1: 0.7119
Epoch [23/80], Train Loss: 0.6216, Val Loss: 0.6146, Train Accuracy: 0.6880, Val Accuracy: 0.7407, Train F1: 0.6334, Val F1: 0.7119
Epoch [24/80], Train Loss: 0.6178, Val Loss: 0.6101, Train Accuracy: 0.6880, Val Accuracy: 0.7407, Train F1: 0.6390, Val F1: 0.7119
Epoch [25/80], Train Loss: 0.6130, Val Loss: 0.6057, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.6848, Val F1: 0.7119
