Epoch [1/80], Train Loss: 0.6828, Val Loss: 0.6860, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [2/80], Train Loss: 0.6812, Val Loss: 0.6842, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [3/80], Train Loss: 0.6797, Val Loss: 0.6823, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [4/80], Train Loss: 0.6776, Val Loss: 0.6803, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6754, Val Loss: 0.6783, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6733, Val Loss: 0.6762, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6721, Val Loss: 0.6742, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6696, Val Loss: 0.6721, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6676, Val Loss: 0.6700, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [10/80], Train Loss: 0.6659, Val Loss: 0.6680, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [11/80], Train Loss: 0.6642, Val Loss: 0.6659, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [12/80], Train Loss: 0.6623, Val Loss: 0.6637, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [13/80], Train Loss: 0.6608, Val Loss: 0.6616, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [14/80], Train Loss: 0.6586, Val Loss: 0.6594, Train Accuracy: 0.5760, Val Accuracy: 0.5926, Train F1: 0.4293, Val F1: 0.4749
Epoch [15/80], Train Loss: 0.6567, Val Loss: 0.6572, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4293, Val F1: 0.5437
Epoch [16/80], Train Loss: 0.6542, Val Loss: 0.6550, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [17/80], Train Loss: 0.6523, Val Loss: 0.6527, Train Accuracy: 0.5840, Val Accuracy: 0.6296, Train F1: 0.4466, Val F1: 0.5437
Epoch [18/80], Train Loss: 0.6504, Val Loss: 0.6504, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [19/80], Train Loss: 0.6487, Val Loss: 0.6480, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [20/80], Train Loss: 0.6461, Val Loss: 0.6455, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [21/80], Train Loss: 0.6439, Val Loss: 0.6430, Train Accuracy: 0.6000, Val Accuracy: 0.6296, Train F1: 0.4797, Val F1: 0.5437
Epoch [22/80], Train Loss: 0.6421, Val Loss: 0.6405, Train Accuracy: 0.6080, Val Accuracy: 0.6667, Train F1: 0.4955, Val F1: 0.6051
Epoch [23/80], Train Loss: 0.6392, Val Loss: 0.6379, Train Accuracy: 0.6160, Val Accuracy: 0.6667, Train F1: 0.5109, Val F1: 0.6051
Epoch [24/80], Train Loss: 0.6368, Val Loss: 0.6352, Train Accuracy: 0.6400, Val Accuracy: 0.6667, Train F1: 0.5547, Val F1: 0.6051
Epoch [25/80], Train Loss: 0.6345, Val Loss: 0.6325, Train Accuracy: 0.6480, Val Accuracy: 0.6667, Train F1: 0.5686, Val F1: 0.6051
Epoch [26/80], Train Loss: 0.6331, Val Loss: 0.6297, Train Accuracy: 0.6560, Val Accuracy: 0.6667, Train F1: 0.5822, Val F1: 0.6051
Epoch [27/80], Train Loss: 0.6297, Val Loss: 0.6269, Train Accuracy: 0.6720, Val Accuracy: 0.7037, Train F1: 0.6084, Val F1: 0.6608
Epoch [28/80], Train Loss: 0.6272, Val Loss: 0.6240, Train Accuracy: 0.6800, Val Accuracy: 0.7407, Train F1: 0.6210, Val F1: 0.7119
Epoch [29/80], Train Loss: 0.6247, Val Loss: 0.6211, Train Accuracy: 0.6880, Val Accuracy: 0.7407, Train F1: 0.6334, Val F1: 0.7119
Epoch [30/80], Train Loss: 0.6226, Val Loss: 0.6180, Train Accuracy: 0.6960, Val Accuracy: 0.7407, Train F1: 0.6456, Val F1: 0.7119
Epoch [31/80], Train Loss: 0.6203, Val Loss: 0.6150, Train Accuracy: 0.6880, Val Accuracy: 0.7407, Train F1: 0.6390, Val F1: 0.7119
Epoch [32/80], Train Loss: 0.6173, Val Loss: 0.6118, Train Accuracy: 0.6960, Val Accuracy: 0.7778, Train F1: 0.6507, Val F1: 0.7593
Epoch [33/80], Train Loss: 0.6142, Val Loss: 0.6086, Train Accuracy: 0.7120, Val Accuracy: 0.7778, Train F1: 0.6779, Val F1: 0.7593
Epoch [34/80], Train Loss: 0.6113, Val Loss: 0.6053, Train Accuracy: 0.7120, Val Accuracy: 0.7778, Train F1: 0.6779, Val F1: 0.7593
Epoch [35/80], Train Loss: 0.6088, Val Loss: 0.6020, Train Accuracy: 0.7120, Val Accuracy: 0.7778, Train F1: 0.6817, Val F1: 0.7593
Epoch [36/80], Train Loss: 0.6052, Val Loss: 0.5985, Train Accuracy: 0.7280, Val Accuracy: 0.7778, Train F1: 0.7028, Val F1: 0.7593
Epoch [37/80], Train Loss: 0.6027, Val Loss: 0.5951, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7259, Val F1: 0.7593
Epoch [38/80], Train Loss: 0.5995, Val Loss: 0.5915, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7357, Val F1: 0.8037
Epoch [39/80], Train Loss: 0.5960, Val Loss: 0.5878, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7284, Val F1: 0.8037
Epoch [40/80], Train Loss: 0.5930, Val Loss: 0.5842, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7402, Val F1: 0.8037
Epoch [41/80], Train Loss: 0.5910, Val Loss: 0.5804, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7402, Val F1: 0.8037
Epoch [42/80], Train Loss: 0.5865, Val Loss: 0.5767, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7328, Val F1: 0.8100
Epoch [43/80], Train Loss: 0.5832, Val Loss: 0.5730, Train Accuracy: 0.7600, Val Accuracy: 0.8148, Train F1: 0.7513, Val F1: 0.8100
Epoch [44/80], Train Loss: 0.5804, Val Loss: 0.5693, Train Accuracy: 0.7680, Val Accuracy: 0.8148, Train F1: 0.7604, Val F1: 0.8138
Epoch [45/80], Train Loss: 0.5778, Val Loss: 0.5655, Train Accuracy: 0.7600, Val Accuracy: 0.8148, Train F1: 0.7529, Val F1: 0.8138
Epoch [46/80], Train Loss: 0.5744, Val Loss: 0.5618, Train Accuracy: 0.7600, Val Accuracy: 0.8148, Train F1: 0.7529, Val F1: 0.8138
Epoch [47/80], Train Loss: 0.5719, Val Loss: 0.5581, Train Accuracy: 0.7600, Val Accuracy: 0.8148, Train F1: 0.7529, Val F1: 0.8138
Epoch [48/80], Train Loss: 0.5673, Val Loss: 0.5543, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7454, Val F1: 0.8138
Epoch [49/80], Train Loss: 0.5634, Val Loss: 0.5506, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7380, Val F1: 0.8138
Epoch [50/80], Train Loss: 0.5622, Val Loss: 0.5468, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7380, Val F1: 0.8138
Epoch [51/80], Train Loss: 0.5591, Val Loss: 0.5431, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7380, Val F1: 0.7778
Epoch [52/80], Train Loss: 0.5557, Val Loss: 0.5393, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7394, Val F1: 0.7778
Epoch [53/80], Train Loss: 0.5523, Val Loss: 0.5355, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7406, Val F1: 0.7778
Epoch [54/80], Train Loss: 0.5491, Val Loss: 0.5318, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7406, Val F1: 0.7778
Epoch [55/80], Train Loss: 0.5456, Val Loss: 0.5282, Train Accuracy: 0.7440, Val Accuracy: 0.7778, Train F1: 0.7406, Val F1: 0.7778
Epoch [56/80], Train Loss: 0.5438, Val Loss: 0.5245, Train Accuracy: 0.7360, Val Accuracy: 0.7778, Train F1: 0.7331, Val F1: 0.7778
Epoch [57/80], Train Loss: 0.5411, Val Loss: 0.5209, Train Accuracy: 0.7360, Val Accuracy: 0.8148, Train F1: 0.7331, Val F1: 0.8153
Epoch [58/80], Train Loss: 0.5383, Val Loss: 0.5173, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [59/80], Train Loss: 0.5351, Val Loss: 0.5138, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [60/80], Train Loss: 0.5323, Val Loss: 0.5103, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [61/80], Train Loss: 0.5299, Val Loss: 0.5069, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [62/80], Train Loss: 0.5261, Val Loss: 0.5035, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [63/80], Train Loss: 0.5245, Val Loss: 0.5003, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [64/80], Train Loss: 0.5211, Val Loss: 0.4971, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [65/80], Train Loss: 0.5191, Val Loss: 0.4939, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [66/80], Train Loss: 0.5182, Val Loss: 0.4907, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [67/80], Train Loss: 0.5150, Val Loss: 0.4877, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [68/80], Train Loss: 0.5133, Val Loss: 0.4847, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [69/80], Train Loss: 0.5093, Val Loss: 0.4819, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [70/80], Train Loss: 0.5081, Val Loss: 0.4791, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [71/80], Train Loss: 0.5051, Val Loss: 0.4764, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [72/80], Train Loss: 0.5044, Val Loss: 0.4737, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [73/80], Train Loss: 0.5038, Val Loss: 0.4710, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [74/80], Train Loss: 0.5010, Val Loss: 0.4685, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [75/80], Train Loss: 0.5015, Val Loss: 0.4660, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [76/80], Train Loss: 0.4968, Val Loss: 0.4637, Train Accuracy: 0.7440, Val Accuracy: 0.8148, Train F1: 0.7417, Val F1: 0.8153
Epoch [77/80], Train Loss: 0.4974, Val Loss: 0.4615, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7502, Val F1: 0.8153
Epoch [78/80], Train Loss: 0.4942, Val Loss: 0.4593, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7502, Val F1: 0.8153
Epoch [79/80], Train Loss: 0.4917, Val Loss: 0.4573, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7502, Val F1: 0.8153
Epoch [80/80], Train Loss: 0.4910, Val Loss: 0.4552, Train Accuracy: 0.7520, Val Accuracy: 0.8148, Train F1: 0.7502, Val F1: 0.8153
