Epoch [1/80], Train Loss: 0.7279, Val Loss: 0.7144, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [2/80], Train Loss: 0.7125, Val Loss: 0.7024, Train Accuracy: 0.4320, Val Accuracy: 0.4444, Train F1: 0.2606, Val F1: 0.2735
Epoch [3/80], Train Loss: 0.6956, Val Loss: 0.6932, Train Accuracy: 0.4720, Val Accuracy: 0.4815, Train F1: 0.3980, Val F1: 0.4741
Epoch [4/80], Train Loss: 0.6897, Val Loss: 0.6864, Train Accuracy: 0.5520, Val Accuracy: 0.5556, Train F1: 0.4695, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6801, Val Loss: 0.6816, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6774, Val Loss: 0.6781, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6750, Val Loss: 0.6758, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6727, Val Loss: 0.6736, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6677, Val Loss: 0.6713, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/80], Train Loss: 0.6702, Val Loss: 0.6687, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/80], Train Loss: 0.6658, Val Loss: 0.6656, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/80], Train Loss: 0.6649, Val Loss: 0.6621, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/80], Train Loss: 0.6628, Val Loss: 0.6586, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/80], Train Loss: 0.6528, Val Loss: 0.6550, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/80], Train Loss: 0.6545, Val Loss: 0.6514, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/80], Train Loss: 0.6531, Val Loss: 0.6478, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [17/80], Train Loss: 0.6460, Val Loss: 0.6442, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6420, Val Loss: 0.6407, Train Accuracy: 0.5760, Val Accuracy: 0.6296, Train F1: 0.4423, Val F1: 0.5437
Epoch [19/80], Train Loss: 0.6402, Val Loss: 0.6370, Train Accuracy: 0.6160, Val Accuracy: 0.6296, Train F1: 0.5205, Val F1: 0.5437
Epoch [20/80], Train Loss: 0.6335, Val Loss: 0.6331, Train Accuracy: 0.6240, Val Accuracy: 0.6667, Train F1: 0.5350, Val F1: 0.6051
Epoch [21/80], Train Loss: 0.6285, Val Loss: 0.6290, Train Accuracy: 0.6640, Val Accuracy: 0.6667, Train F1: 0.6021, Val F1: 0.6051
Epoch [22/80], Train Loss: 0.6254, Val Loss: 0.6250, Train Accuracy: 0.6400, Val Accuracy: 0.6667, Train F1: 0.5628, Val F1: 0.6051
Epoch [23/80], Train Loss: 0.6217, Val Loss: 0.6210, Train Accuracy: 0.6640, Val Accuracy: 0.6667, Train F1: 0.6021, Val F1: 0.6051
Epoch [24/80], Train Loss: 0.6099, Val Loss: 0.6168, Train Accuracy: 0.6720, Val Accuracy: 0.6667, Train F1: 0.6146, Val F1: 0.6051
Epoch [25/80], Train Loss: 0.6156, Val Loss: 0.6127, Train Accuracy: 0.6800, Val Accuracy: 0.6667, Train F1: 0.6269, Val F1: 0.6051
Epoch [26/80], Train Loss: 0.6042, Val Loss: 0.6082, Train Accuracy: 0.6960, Val Accuracy: 0.6667, Train F1: 0.6555, Val F1: 0.6051
Epoch [27/80], Train Loss: 0.6004, Val Loss: 0.6036, Train Accuracy: 0.6880, Val Accuracy: 0.6667, Train F1: 0.6488, Val F1: 0.6051
Epoch [28/80], Train Loss: 0.5858, Val Loss: 0.5988, Train Accuracy: 0.7440, Val Accuracy: 0.7407, Train F1: 0.7203, Val F1: 0.7119
Epoch [29/80], Train Loss: 0.5944, Val Loss: 0.5940, Train Accuracy: 0.7120, Val Accuracy: 0.7407, Train F1: 0.6853, Val F1: 0.7119
Epoch [30/80], Train Loss: 0.5870, Val Loss: 0.5892, Train Accuracy: 0.7120, Val Accuracy: 0.7407, Train F1: 0.6886, Val F1: 0.7119
Epoch [31/80], Train Loss: 0.5718, Val Loss: 0.5844, Train Accuracy: 0.7200, Val Accuracy: 0.7407, Train F1: 0.6988, Val F1: 0.7119
Epoch [32/80], Train Loss: 0.5755, Val Loss: 0.5801, Train Accuracy: 0.7280, Val Accuracy: 0.7407, Train F1: 0.7161, Val F1: 0.7119
Epoch [33/80], Train Loss: 0.5647, Val Loss: 0.5759, Train Accuracy: 0.7440, Val Accuracy: 0.7037, Train F1: 0.7307, Val F1: 0.6790
Epoch [34/80], Train Loss: 0.5529, Val Loss: 0.5714, Train Accuracy: 0.7600, Val Accuracy: 0.7037, Train F1: 0.7513, Val F1: 0.6790
Epoch [35/80], Train Loss: 0.5516, Val Loss: 0.5668, Train Accuracy: 0.7520, Val Accuracy: 0.6667, Train F1: 0.7402, Val F1: 0.6466
Epoch [36/80], Train Loss: 0.5518, Val Loss: 0.5629, Train Accuracy: 0.7600, Val Accuracy: 0.6667, Train F1: 0.7529, Val F1: 0.6466
Epoch [37/80], Train Loss: 0.5534, Val Loss: 0.5586, Train Accuracy: 0.7360, Val Accuracy: 0.6667, Train F1: 0.7305, Val F1: 0.6466
Epoch [38/80], Train Loss: 0.5311, Val Loss: 0.5548, Train Accuracy: 0.7680, Val Accuracy: 0.6667, Train F1: 0.7619, Val F1: 0.6466
Epoch [39/80], Train Loss: 0.5421, Val Loss: 0.5511, Train Accuracy: 0.7600, Val Accuracy: 0.6667, Train F1: 0.7544, Val F1: 0.6466
Epoch [40/80], Train Loss: 0.5224, Val Loss: 0.5473, Train Accuracy: 0.7440, Val Accuracy: 0.6667, Train F1: 0.7347, Val F1: 0.6466
Epoch [41/80], Train Loss: 0.5340, Val Loss: 0.5436, Train Accuracy: 0.7760, Val Accuracy: 0.6667, Train F1: 0.7694, Val F1: 0.6466
Epoch [42/80], Train Loss: 0.5156, Val Loss: 0.5399, Train Accuracy: 0.8000, Val Accuracy: 0.7037, Train F1: 0.7947, Val F1: 0.6915
Epoch [43/80], Train Loss: 0.5233, Val Loss: 0.5364, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7663, Val F1: 0.6915
Epoch [44/80], Train Loss: 0.5156, Val Loss: 0.5329, Train Accuracy: 0.7760, Val Accuracy: 0.7037, Train F1: 0.7707, Val F1: 0.6915
Epoch [45/80], Train Loss: 0.5110, Val Loss: 0.5294, Train Accuracy: 0.7680, Val Accuracy: 0.7037, Train F1: 0.7654, Val F1: 0.6915
Epoch [46/80], Train Loss: 0.5110, Val Loss: 0.5261, Train Accuracy: 0.7680, Val Accuracy: 0.7407, Train F1: 0.7663, Val F1: 0.7340
