Epoch [1/80], Train Loss: 0.6947, Val Loss: 0.6904, Train Accuracy: 0.4480, Val Accuracy: 0.5556, Train F1: 0.3187, Val F1: 0.5444
Epoch [2/80], Train Loss: 0.6916, Val Loss: 0.6877, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.5700, Val F1: 0.4749
Epoch [3/80], Train Loss: 0.6883, Val Loss: 0.6853, Train Accuracy: 0.5920, Val Accuracy: 0.5556, Train F1: 0.4634, Val F1: 0.3968
Epoch [4/80], Train Loss: 0.6852, Val Loss: 0.6831, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [5/80], Train Loss: 0.6825, Val Loss: 0.6811, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [6/80], Train Loss: 0.6802, Val Loss: 0.6792, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [7/80], Train Loss: 0.6776, Val Loss: 0.6775, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [8/80], Train Loss: 0.6755, Val Loss: 0.6760, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [9/80], Train Loss: 0.6739, Val Loss: 0.6745, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [10/80], Train Loss: 0.6725, Val Loss: 0.6731, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [11/80], Train Loss: 0.6708, Val Loss: 0.6717, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [12/80], Train Loss: 0.6688, Val Loss: 0.6703, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [13/80], Train Loss: 0.6678, Val Loss: 0.6688, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [14/80], Train Loss: 0.6662, Val Loss: 0.6674, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [15/80], Train Loss: 0.6639, Val Loss: 0.6658, Train Accuracy: 0.5680, Val Accuracy: 0.5556, Train F1: 0.4115, Val F1: 0.3968
Epoch [16/80], Train Loss: 0.6628, Val Loss: 0.6642, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [17/80], Train Loss: 0.6606, Val Loss: 0.6625, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [18/80], Train Loss: 0.6590, Val Loss: 0.6607, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [19/80], Train Loss: 0.6567, Val Loss: 0.6589, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
Epoch [20/80], Train Loss: 0.6545, Val Loss: 0.6569, Train Accuracy: 0.5680, Val Accuracy: 0.5926, Train F1: 0.4115, Val F1: 0.4749
