fold,num_heads,out_channels,learning_rate,weight_decay,best_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
1,1,8,0.01,0,42,0.49795807618647814,0.45183102041482925,0.71900826446281,0.8064516129032258,0.7175127902400629,0.8064516129032258
2,1,8,0.01,0,11,0.5071414522826672,0.48384562879800797,0.7355371900826446,0.7741935483870968,0.7348334375072343,0.7697994768962511
3,1,8,0.01,0,78,0.4862188883125782,0.4352579340338707,0.7950819672131147,0.8,0.7935922217694658,0.7972222222222223
4,1,8,0.01,0,12,0.531965596601367,0.4779553934931755,0.7131147540983607,0.7666666666666667,0.7110291104772519,0.7609087348217783
5,1,8,0.01,0,7,0.5548910833895206,0.592278465628624,0.7622950819672131,0.6666666666666666,0.7463389859202618,0.6416666666666667
1,2,8,0.01,0,17,0.5020635114051402,0.4585031121969223,0.6942148760330579,0.7741935483870968,0.6920676593771563,0.7727288578901482
2,2,8,0.01,0,19,0.5395643040537834,0.4816751405596733,0.7520661157024794,0.8064516129032258,0.7472542878732433,0.8005093378607809
3,2,8,0.01,0,94,0.3854943048208952,0.35479089245200157,0.8278688524590164,0.8333333333333334,0.8271932705950877,0.8292205248726989
4,2,8,0.01,0,22,0.5139628034085035,0.5078262761235237,0.7622950819672131,0.7333333333333333,0.7629250848080747,0.7296296296296296
5,2,8,0.01,0,7,0.5331025514751673,0.5847505256533623,0.7213114754098361,0.6666666666666666,0.6911900653272527,0.662037037037037
1,3,8,0.01,0,51,0.4363641705858754,0.38514991477131844,0.8099173553719008,0.8709677419354839,0.8049242051485749,0.8689869835880022
2,3,8,0.01,0,12,0.5029512029141188,0.485709086060524,0.7355371900826446,0.7741935483870968,0.7288681279195113,0.7697994768962511
3,3,8,0.01,0,34,0.46280576568096876,0.4115866869688034,0.7704918032786885,0.7333333333333333,0.7692241523716391,0.7333333333333333
4,3,8,0.01,0,41,0.4265593606978655,0.4999298192560673,0.8278688524590164,0.7666666666666667,0.8242571992750056,0.7653333333333333
5,3,8,0.01,0,4,0.5690430700778961,0.5761794820427895,0.7459016393442623,0.6333333333333333,0.7430517726730276,0.6312380952380953
1,1,8,0.001,0,85,0.5594524424523115,0.48765768855810165,0.7355371900826446,0.8387096774193549,0.734129684931824,0.8343942172834179
2,1,8,0.001,0,126,0.5180386435240507,0.5325500294566154,0.7520661157024794,0.8064516129032258,0.7505994645559305,0.8005093378607809
3,1,8,0.001,0,195,0.5036350674927235,0.4425419569015503,0.7540983606557377,0.8,0.7450145482932368,0.8008928571428572
4,1,8,0.001,0,116,0.49880151450634,0.5398596227169037,0.7704918032786885,0.7,0.7692241523716391,0.6982857142857143
5,1,8,0.001,0,75,0.535647040233016,0.5826976448297501,0.7540983606557377,0.7,0.7507985902647607,0.6835164835164835
1,2,8,0.001,0,134,0.5373025685548782,0.4752340316772461,0.7107438016528925,0.8387096774193549,0.7075972695807407,0.8376634699215345
2,2,8,0.001,0,123,0.5442275181412697,0.4919492229819298,0.7355371900826446,0.6774193548387096,0.7339727621929927,0.6739729804245933
3,2,8,0.001,0,108,0.5217321161180735,0.5594989210367203,0.7459016393442623,0.7,0.7405701513107226,0.6925969447708578
4,2,8,0.001,0,200,0.4962501209229231,0.5016930997371674,0.7704918032786885,0.7333333333333333,0.7692241523716391,0.7296296296296296
5,2,8,0.001,0,36,0.5575210303068161,0.5872834026813507,0.7131147540983607,0.7,0.705412999650955,0.6835164835164835
1,3,8,0.001,0,178,0.4877421436831355,0.408439576625824,0.7603305785123967,0.8387096774193549,0.7577234519383279,0.8376634699215345
2,3,8,0.001,0,124,0.5486409831792116,0.4842960759997368,0.7768595041322314,0.7741935483870968,0.7765789614958117,0.7697994768962511
3,3,8,0.001,0,137,0.5037243138067424,0.4853610321879387,0.7377049180327869,0.8,0.7298270623100875,0.8008928571428572
4,3,8,0.001,0,76,0.476148284971714,0.5217768847942352,0.7540983606557377,0.7,0.7507985902647607,0.6982857142857143
5,3,8,0.001,0,33,0.5530403647571802,0.5896405279636383,0.7213114754098361,0.7333333333333333,0.7162116009452076,0.7231259968102073
