fold,num_heads,out_channels,num_epochs,learning_rate,weight_decay,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
1,2,16,10,0.1,0.0,0.5370759963989258,0.44178131222724915,0.7107438016528925,0.8387096774193549,0.7110241468780126,0.8376634699215345
2,2,16,10,0.1,0.0,0.485580638051033,0.5570456981658936,0.7520661157024794,0.7419354838709677,0.7529569781944273,0.7391783843396746
3,2,16,10,0.1,0.0,0.5041946992278099,0.48324161767959595,0.7622950819672131,0.7333333333333333,0.758544215387693,0.7133333333333334
4,2,16,10,0.1,0.0,0.48610349744558334,0.5361585021018982,0.7786885245901639,0.7,0.772747171159308,0.7010101010101011
5,2,16,10,0.1,0.0,0.46708452701568604,0.72761470079422,0.7377049180327869,0.6666666666666666,0.736256174139016,0.6666666666666666
1,2,16,10,0.1,1e-05,0.5401041358709335,0.4530540108680725,0.7272727272727273,0.8387096774193549,0.7243059970332697,0.8393923877794844
2,2,16,10,0.1,1e-05,0.47151031345129013,0.6908385753631592,0.7933884297520661,0.7096774193548387,0.7943830525371122,0.6860739575137688
3,2,16,10,0.1,1e-05,0.5070275515317917,0.4734461009502411,0.7295081967213115,0.8,0.7291931326133472,0.7972222222222223
4,2,16,10,0.1,1e-05,0.4932359531521797,0.5053789019584656,0.7868852459016393,0.7,0.7857081414879507,0.6982857142857143
5,2,16,10,0.1,1e-05,0.4771839752793312,0.7607313990592957,0.7540983606557377,0.6,0.7545671273974071,0.584688995215311
1,3,16,10,0.1,0.0,0.5886979922652245,0.40872207283973694,0.71900826446281,0.8064516129032258,0.7200866318689285,0.8034804753820033
2,3,16,10,0.1,0.0,0.4964984133839607,0.5051537156105042,0.7272727272727273,0.7419354838709677,0.7251536342445434,0.7391783843396746
3,3,16,10,0.1,0.0,0.5098391100764275,0.45885929465293884,0.7213114754098361,0.7666666666666667,0.7213114754098361,0.7609087348217783
4,3,16,10,0.1,0.0,0.48888129740953445,0.4973151981830597,0.7540983606557377,0.6666666666666666,0.7527401632553276,0.6666666666666666
5,3,16,10,0.1,0.0,0.45163414627313614,0.6925734877586365,0.7950819672131147,0.6333333333333333,0.7956250731104093,0.6131868131868131
1,3,16,10,0.1,1e-05,0.5193848982453346,0.4377909302711487,0.71900826446281,0.8387096774193549,0.7165149575136771,0.8393923877794844
2,3,16,10,0.1,1e-05,0.438860148191452,0.5967122316360474,0.7768595041322314,0.7096774193548387,0.7689937893627132,0.7084485407066052
3,3,16,10,0.1,1e-05,0.5121761560440063,0.46618667244911194,0.7459016393442623,0.7666666666666667,0.7390800854051315,0.7609087348217783
4,3,16,10,0.1,1e-05,0.5044311210513115,0.5284542441368103,0.7622950819672131,0.7,0.7605669772525803,0.7010101010101011
5,3,16,10,0.1,1e-05,0.4658652991056442,0.724520742893219,0.7622950819672131,0.6666666666666666,0.7596290776618646,0.6666666666666666
1,2,16,10,0.01,0.0,0.5716093629598618,0.5551139712333679,0.7355371900826446,0.7419354838709677,0.7349106756221381,0.7313782991202346
2,2,16,10,0.01,0.0,0.5245869681239128,0.4849628508090973,0.7603305785123967,0.7741935483870968,0.756314635467062,0.7641241414032438
3,2,16,10,0.01,0.0,0.5867504328489304,0.5681332349777222,0.7622950819672131,0.7666666666666667,0.7486290278561161,0.7609087348217783
4,2,16,10,0.01,0.0,0.5754084438085556,0.6093618273735046,0.7540983606557377,0.6666666666666666,0.7495984714222419,0.662037037037037
5,2,16,10,0.01,0.0,0.5129700377583504,0.662301778793335,0.7459016393442623,0.6,0.7430517726730276,0.5944444444444444
1,2,16,10,0.01,1e-05,0.5903125703334808,0.5619458556175232,0.7107438016528925,0.7741935483870968,0.7110241468780126,0.7727288578901482
2,2,16,10,0.01,1e-05,0.5608570873737335,0.5321583151817322,0.7355371900826446,0.7096774193548387,0.7339727621929927,0.7084485407066052
3,2,16,10,0.01,1e-05,0.5645229369401932,0.5359078645706177,0.7049180327868853,0.8,0.7009583083177129,0.8008928571428572
4,2,16,10,0.01,1e-05,0.5389914736151695,0.5357378125190735,0.7622950819672131,0.7,0.758544215387693,0.6925969447708578
5,2,16,10,0.01,1e-05,0.5678936243057251,0.5930408239364624,0.7459016393442623,0.7666666666666667,0.7288451228802799,0.7538461538461537
1,3,16,10,0.01,0.0,0.566667914390564,0.5231654644012451,0.71900826446281,0.7741935483870968,0.71900826446281,0.7727288578901482
2,3,16,10,0.01,0.0,0.5508386194705963,0.5116321444511414,0.743801652892562,0.7096774193548387,0.741810989744874,0.7084485407066052
3,3,16,10,0.01,0.0,0.5225783213973045,0.4957393705844879,0.7377049180327869,0.8,0.7353005464480874,0.8008928571428572
4,3,16,10,0.01,0.0,0.5200781598687172,0.5964622497558594,0.7622950819672131,0.6333333333333333,0.7613621355836927,0.6312380952380953
5,3,16,10,0.01,0.0,0.5471855625510216,0.601535439491272,0.7295081967213115,0.7333333333333333,0.7139571696293737,0.7231259968102073
1,3,16,10,0.01,1e-05,0.5728628486394882,0.5495509505271912,0.7024793388429752,0.7419354838709677,0.7033809166040571,0.7379739671760045
2,3,16,10,0.01,1e-05,0.5291005223989487,0.4954588711261749,0.7603305785123967,0.7741935483870968,0.7574678367555594,0.7641241414032438
3,3,16,10,0.01,1e-05,0.5276612862944603,0.5042736530303955,0.7459016393442623,0.7333333333333333,0.7405701513107226,0.7333333333333333
4,3,16,10,0.01,1e-05,0.4801882207393646,0.6649911403656006,0.7704918032786885,0.7,0.7683879781420766,0.7010101010101011
5,3,16,10,0.01,1e-05,0.5546422377228737,0.613757848739624,0.7377049180327869,0.6666666666666666,0.7329050361837247,0.6666666666666666
